Row mapping between `table_1.csv` and `refractory_hea_data.csv`

Method:
- Preserved the 50 fixed pairs already listed in `row_mapping.txt`.
- Normalized composition by relative element fractions so re-ordered or re-scaled formulas map to the same alloy.
- Parsed grouped formulas such as `(CuMnNi)95Al5` and stripped trailing condition annotations such as `(annealed 773K)` before matching.
- Added the next 50 best unmatched one-to-one pairs within each normalized composition group by the closest hardness `HV`.
- Numeric comparisons use the first numeric token in each cell when annotations are present.

Summary:
- Total mapped rows: 100
- Exact `HV` matches (`|ΔHV| = 0`): 91
- Non-exact `HV` matches: 9

MAE on these 100 mapped rows:
- `σY (MPa)`: 0.2949 over 39 comparable rows
- `σmax (MPa)`: 1.8136 over 22 comparable rows
- `ε (%)`: 0.2253 over 38 comparable rows
- `E (GPa)`: 4.1333 over 15 comparable rows

Columns:
- `orig_line`: line number in `table_1.csv`
- `recon_line`: line number in `refractory_hea_data.csv`
- `orig_HV` / `recon_HV`: hardness values used for matching
- `abs_delta_HV`: absolute hardness difference
- `matched_on`: composition normalization plus hardness criterion
- `comparable_fields`: fields present in both rows and used for MAE

1. orig_line=247 | recon_line=353 | orig_comp=Al22.5Cu20Fe15Ni20Ti22.5 | recon_comp=Al22.5Ti22.5Ni20Cu20Fe15 | orig_HV=516 | recon_HV=516 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon,E
2. orig_line=44 | recon_line=144 | orig_comp=AlCoCrFeNi | recon_comp=AlCoCrFeNi | orig_HV=520 | recon_HV=520 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
3. orig_line=83 | recon_line=145 | orig_comp=AlCoCrFeNb0.1Ni | recon_comp=AlCoCrFeNb0.1Ni | orig_HV=569 | recon_HV=569 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
4. orig_line=264 | recon_line=388 | orig_comp=AlMo0.5NbTa00.5TiZr | recon_comp=AlMo0.5NbTa0.5TiZr | orig_HV=591 | recon_HV=591 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
5. orig_line=272 | recon_line=400 | orig_comp=Al0.3NbTa0.8Ti1.4V0.2Zr1.3 | recon_comp=Al0.3NbTa0.8Ti1.4V0.2Zr1.3 | orig_HV=500 | recon_HV=500 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
6. orig_line=273 | recon_line=403 | orig_comp=Al0.5NbTa0.8Ti1.5V0.2Zr | recon_comp=Al0.5NbTa0.8Ti1.5V0.2Zr | orig_HV=530 | recon_HV=530 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
7. orig_line=275 | recon_line=391 | orig_comp=AlNb1.5Ta0.5Ti1.5Zr0.5 | recon_comp=AlNb1.5Ta0.5Ti1.5Zr0.5 | orig_HV=408 | recon_HV=408 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
8. orig_line=276 | recon_line=421 | orig_comp=AlNbTiV | recon_comp=AlNbTiV | orig_HV=448 | recon_HV=448 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
9. orig_line=301 | recon_line=519 | orig_comp=Hf0.5Nb0.5Ta0.5Ti1.5Zr | recon_comp=Hf0.5Nb0.5Ta0.5Ti1.5Zr | orig_HV=301 | recon_HV=301 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
10. orig_line=307 | recon_line=543 | orig_comp=MoNbTaV | recon_comp=MoNbTaV | orig_HV=504 | recon_HV=504 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
11. orig_line=29 | recon_line=96 | orig_comp=Al0.7Co0.3CrFeNi | recon_comp=FeNiCrCo0.3Al0.7 | orig_HV=624 | recon_HV=624 | abs_delta_HV=0 | matched_on=normalized relative composition + exact HV | comparable_fields=sigma_y,sigma_max,epsilon
